29.0,51.5,1
41.2,26.6,1
29.0,16.1,1
23.7,65.0,1
35.4,81.5,1
23.3,50.8,1
18.2,41.6,1
15.2,69.7,1
19.2,94.1,1
3.2,95.6,1
22.6,98.3,1
10.3,76.4,1
60.6,43.1,1
20.7,52.9,1
85.5,59.4,1
71.0,13.3,0
8.3,8.4,1
65.4,57.3,1
77.2,51.3,1
1.8,71.3,1
28.9,23.4,1
27.4,72.0,1
41.3,58.3,1
67.1,40.2,1
38.6,39.3,1
6.7,47.5,1
78.7,96.2,1
18.4,79.5,1
18.5,84.9,1
36.6,24.5,1
21.1,4.3,1
32.0,35.6,1
72.0,39.2,1
37.5,81.9,1
96.7,37.6,1
62.4,16.4,1
31.0,47.7,1
50.0,20.7,1
60.6,36.8,1
28.5,96.4,1
85.2,1.5,0
43.3,56.1,1
23.2,47.2,1
15.3,37.1,1
31.0,17.2,1
2.6,68.6,1
27.7,70.2,1
9.3,11.5,1
41.2,63.4,1
95.1,56.2,1
68.0,80.2,1
42.1,48.1,1
17.1,42.1,1
70.5,19.1,1
37.1,9.8,1
14.9,44.4,1
74.7,67.8,1
55.8,56.0,1
92.5,69.6,1
40.8,83.8,1
46.5,34.4,1
33.8,80.3,1
26.0,95.4,1
24.1,38.1,1
13.5,69.3,1
75.2,38.2,1
87.9,61.9,1
3.8,65.9,1
91.1,45.6,1
93.9,2.7,0
9.6,43.5,1
11.3,33.9,1
20.9,75.3,1
73.0,48.2,1
36.9,47.1,1
25.7,82.9,1
23.8,9.3,1
67.8,37.4,1
94.7,66.7,1
20.7,29.6,1
60.3,2.9,0
91.8,18.3,1
11.7,79.9,1
10.2,23.5,1
59.9,77.0,1
25.4,72.4,1
38.9,17.7,1
37.1,39.2,1
92.5,82.1,1
63.2,1.8,0
67.3,48.3,1
4.9,69.0,1
90.7,13.0,0
56.2,21.8,1
9.6,40.7,1
10.5,52.5,1
6.7,88.1,1
7.9,20.4,1
32.8,13.8,1
23.0,10.5,1
74.5,19.6,1
72.8,61.0,1
71.0,82.4,1
